STT,Aircraft,Aircraft_type,Flight,Aircraft_registration,Flight_route,Flight_type,Flight_purpose,Departure_airport,Arrival_airport,Flight_level,Take_off_time,Take_off_date
1,B763,H,JAL752,JA616J,R474,LD,PAX,VVNB,RJAA,370,00:02:41,30/10/2025
2,A359,H,AAR734,HL8361,R474,LD,PAX,VVNB,RKSI,370,00:05:36,30/10/2025
3,A359,H,HVN19,VNA897,W21,LD,PAX,VVNB,LFPG,400,00:11:57,30/10/2025
4,B77L,H,GTI8528,N760GT,R474,LD,CAR,VVNB,PAFA,330,00:16:20,30/10/2025
5,A321,M,HVN348,VNA334,R474,LD,PAX,VVNB,RJGG,310,00:28:51,30/10/2025
6,B78X,H,HVN416,VNA877,R474,LD,PAX,VVNB,RKSI,390,00:31:40,30/10/2025
7,A321,M,HVN647,VNA332,R474,LD,PAX,VVNB,RPLL,330,00:33:55,30/10/2025
8,A359,H,HVN310,VNA893,R474,LD,PAX,VVNB,RJAA,390,00:38:07,30/10/2025
9,A332,H,BCS576,D-ALEJ,R474,LD,CAR,VVNB,VHHH,310,00:41:51,30/10/2025
10,B77W,H,UAE395,A6-EPQ,W21,LD,PAX,VVNB,OMDB,360,00:44:54,30/10/2025
11,A321,M,VJC171,VNA649,W1/Q1,ND,PAX,VVNB,VVTS,320,00:47:28,30/10/2025
12,A321,M,VJC161,VNA639,W1/Q1,ND,PAX,VVNB,VVTS,360,00:50:23,30/10/2025
13,B78X,H,HVN428,VNA874,R474,LD,PAX,VVNB,RKPK,310,00:52:56,30/10/2025
14,B77L,H,CSN416,B-20EM,R474,LD,PAX,VVNB,ZSPD,270,00:55:46,30/10/2025
15,B789,H,ANA898,JA932A,R474,LD,PAX,VVNB,RJAA,390,00:59:55,30/10/2025
16,B789,H,HVN35,VNA869,W21,LD,PAX,VVNB,EDDM,360,01:02:58,30/10/2025
17,A321,M,VJC982,VNA667,R474,LD,PAX,VVNB,RKPK,330,01:07:17,30/10/2025
18,A21N,M,VJC932,VNA549,R474,LD,PAX,VVNB,RJAA,310,01:10:43,30/10/2025
19,A359,H,HVN334,VNA886,R474,LD,PAX,VVNB,RJBB,390,01:21:24,30/10/2025
20,A21N,M,VJC3521,VNA550,R474,LD,PAX,VVNB,ZYMD,310,01:24:18,30/10/2025
21,B763,H,ANA8448,JA604F,R474,LD,PAX,VVNB,RJAA,350,01:27:00,30/10/2025
22,A21N,M,VJC938,VNA539,R474,LD,PAX,VVNB,RJBB,330,01:42:59,30/10/2025
23,B738,M,JJA2202,HL8335,R474,LD,PAX,VVNB,RKSI,350,01:45:50,30/10/2025
24,A21N,M,VJC920,VNA543,R474,LD,PAX,VVNB,RJGG,310,01:48:58,30/10/2025
25,B77L,H,FDX9738,N875FD,R474,LD,CAR,VVNB,PANC,330,01:59:37,30/10/2025
26,A321,M,HVN356,VNA512,R474,LD,PAX,VVNB,RJFF,310,02:04:40,30/10/2025
27,A21N,M,VJC960,VNA538,R474,LD,PAX,VVNB,RKSI,350,02:06:57,30/10/2025
28,A320,M,CSZ108,B-6357,R474,LD,PAX,VVNB,ZGSZ,270,02:09:27,30/10/2025
